ParentLocation,Location,HealthyLifeExpectancy,LifeExpectancy,RetirementAge
Africa,Lesotho,44.2,54.693,
Africa,Central African Republic,46.4,54.604,
Eastern Mediterranean,Somalia,49.7,55.967,
Africa,Eswatini,50.1,59.692,
Africa,Mozambique,50.4,61.172,
Africa,Chad,52.0,52.777,
Africa,Guinea-Bissau,52.6,59.999,
Western Pacific,Kiribati,52.6,67.266,
Africa,Sierra Leone,52.9,59.763,
Africa,Zimbabwe,53.1,61.124,
Africa,Guinea,53.3,59.327,
Africa,South Sudan,53.7,55.48,
Eastern Mediterranean,Afghanistan,53.9,62.575,
Africa,Botswana,53.9,65.647,
Africa,Equatorial Guinea,53.9,60.708,
Africa,Zambia,54.4,62.38,
Africa,Cameroon,54.5,60.833,
Africa,Mali,54.6,58.633,
Africa,Angola,54.8,62.261,
Africa,Burkina Faso,54.9,59.731,
Africa,Liberia,54.9,60.948,
Africa,Benin,55.5,60.088,
Africa,Niger,55.5,61.451,
Africa,Burundi,55.6,61.566,
Africa,Eritrea,55.7,67.133,
Americas,Haiti,55.8,64.052,
Africa,Namibia,56.1,62.829,
Africa,South Africa,56.2,65.252,63.09999847
Africa,Togo,56.2,61.035,
Eastern Mediterranean,Pakistan,56.9,66.269,
Africa,Malawi,57.1,63.717,
Western Pacific,Papua New Guinea,57.1,65.787,
Americas,Guyana,57.2,68.486,
Africa,Madagascar,57.3,65.182,
Africa,Gabon,57.6,66.531,
Africa,Kenya,57.7,62.675,
Western Pacific,Solomon Islands,57.8,70.199,
Western Pacific,Vanuatu,57.8,70.299,
Eastern Mediterranean,Djibouti,58.0,62.694,
Africa,Ghana,58.0,64.114,
Africa,Uganda,58.2,62.851,
Africa,Comoros,58.9,64.166,
Africa,Senegal,59.4,68.006,
Western Pacific,Fiji,59.6,67.924,
Africa,Mauritania,59.8,64.532,
Africa,Ethiopia,59.9,65.371,
Eastern Mediterranean,Sudan,59.9,65.614,
Africa,Rwanda,60.2,66.774,
South-East Asia,India,60.3,70.15,69.80000305
Western Pacific,Mongolia,60.3,72.141,
South-East Asia,Myanmar,60.9,66.797,
South-East Asia,Timor-Leste,60.9,68.475,
South-East Asia,Nepal,61.3,69.246,
Western Pacific,Cambodia,61.5,70.416,
Africa,Sao Tome and Principe,61.6,67.785,
Western Pacific,Philippines,62.0,72.119,
Europe,Tajikistan,62.0,67.994,
Western Pacific,Samoa,62.1,72.768,
Europe,Turkmenistan,62.1,68.687,
Americas,Guatemala,62.3,71.797,
Americas,Suriname,62.4,72.561,
Eastern Mediterranean,Iraq,62.7,69.123,
South-East Asia,Indonesia,62.8,68.808,73.0
Eastern Mediterranean,Syrian Arab Republic,62.9,72.14,
Americas,Honduras,63.0,71.462,
South-East Asia,Bhutan,63.4,71.609,
Europe,Azerbaijan,63.6,66.868,
Eastern Mediterranean,Morocco,63.7,73.92,
Americas,Grenada,63.9,74.924,
Africa,Mauritius,63.9,74.1770731707317,
Americas,Dominican Republic,64.0,72.889,
Eastern Mediterranean,Saudi Arabia,64.0,76.239,
Africa,Seychelles,64.0,77.23658536585367,
Western Pacific,Tonga,64.0,70.928,
Europe,Russian Federation,64.2,71.3387804878049,
South-East Asia,Bangladesh,64.3,71.968,
Europe,Ukraine,64.3,71.18512195121953,
Europe,Georgia,64.7,72.765,
Eastern Mediterranean,Oman,64.7,74.757,
Europe,Uzbekistan,64.7,70.331,
Africa,Cabo Verde,64.8,74.808,
Americas,El Salvador,64.9,71.061,
Europe,Kazakhstan,65.0,71.37,
Eastern Mediterranean,Libya,65.2,72.472,
Americas,Belize,65.3,72.854,
Americas,Brazil,65.4,74.009,66.59999847
Americas,Nicaragua,65.5,71.795,
Western Pacific,Brunei Darussalam,65.6,74.795,
